ČÍSLO FAKTURY,IČO SPOLEČNOSTI,ČÁSTKA (V CELÝCH KČ)
150181,02838109,238261
150182,05159822,355428
150183,18539217,1976644
150184,18539217,2274381
150185,06230932,2709706
150186,18539217,2796405
150187,18581928,2441801
150188,05159822,2062063
150189,06230932,1258649
150190,05159822,1937994
150191,02838109,361173
150192,01846359,1323279
150193,06230932,2089720
150194,92019399,1065172
150195,18539217,2419913
150196,01846359,1996076
150197,18581928,599156
150198,18539217,2366950
150199,9831829,1086581
150200,18539217,914219
150201,01846359,402804
150202,02838109,2531169
150203,18539217,2424209
150204,67821984,211873
150205,18539217,1154916
150206,02838109,2472528
150207,06230932,1933662
150208,18539217,1698666
150209,33828139,1231306
150210,05159822,17217
150211,06230932,784343
150212,18581928,2909307
150213,01846359,1051320
150214,92019399,2276413
150215,9831829,121895
150216,67821984,2736625
150217,67821984,2251003
150218,18581928,910895
150219,06230932,2006990
150220,18581928,2345246
150221,67821984,1669307
150222,18581928,1253031
150223,05159822,2353007
150224,67821984,1512875
150225,06230932,1061703
150226,33828139,139653
150227,05159822,2260440
150228,06230932,1902389
150229,06230932,941211
150230,02838109,2997389
150231,92019399,694418
150232,92019399,1638858
150233,18539217,1614382
150234,06230932,327238
150235,67821984,96255
150236,18539217,2406358
150237,92019399,2813269
150238,33828139,2642113
150239,02838109,2988001
150240,01846359,29643
150241,92019399,2710940
150242,92019399,1200206
150243,92019399,421190
150244,18539217,1881470
150245,01846359,2153367
150246,67821984,2964661
150247,33828139,2266608
150248,18581928,1607655
150249,18539217,1283064
150250,67821984,666774
150251,18581928,2654488
150252,01846359,11664
150253,06230932,154889
150254,9831829,1982595
150255,33828139,2012557
150256,01846359,1680455
150257,06230932,1000224
150258,06230932,1385928
150259,02838109,2146463
150260,33828139,985813
150261,01846359,1306439
150262,02838109,1905396
150263,02838109,2122708
150264,01846359,1810488
150265,05159822,2476314
150266,92019399,2294865
150267,18539217,1000965
150268,02838109,1771057
150269,18581928,739536
150270,9831829,2963768
150271,67821984,424623
150272,05159822,2073115
150273,05159822,2308349
150274,92019399,1401034
150275,01846359,841431
150276,02838109,743896
150277,01846359,2247313
150278,06230932,2177689
150279,9831829,2925093
150280,67821984,1040431
150281,18539217,1406068
150282,92019399,1359914
150283,01846359,445806
150284,06230932,1132785
150285,02838109,2517992
150286,01846359,1099047
150287,67821984,1111001
150288,02838109,567252
150289,33828139,754030
150290,18581928,1681825
150291,92019399,2546481
150292,05159822,1735393
150293,18539217,2991119
150294,18539217,1921260
150295,02838109,1438053
150296,9831829,1062466
150297,33828139,2231265
150298,18539217,2200399
150299,33828139,1394928
150300,02838109,1201749
150301,9831829,1367240
150302,18581928,703169
150303,92019399,1446123
150304,33828139,1947636
150305,18539217,2137888
150306,05159822,2825216
150307,05159822,1661452
150308,05159822,104686
150309,06230932,720489
150310,67821984,329149
150311,06230932,1802835
150312,01846359,461622
150313,05159822,597880
150314,92019399,2475136
150315,67821984,1231044
150316,33828139,1407580
150317,02838109,1926724
150318,33828139,2089464
150319,06230932,2945146
150320,18581928,1149282
150321,18539217,1546624
150322,92019399,2907163
150323,9831829,202493
150324,05159822,1501956
150325,9831829,1101774
150326,9831829,2718772
150327,33828139,1372669
150328,02838109,1063148
150329,92019399,10502
150330,92019399,2595269
150331,18581928,1606615
150332,05159822,2137895
150333,33828139,1061690
150334,05159822,2724634
150335,01846359,1024634
150336,05159822,1850700
150337,05159822,2044156
150338,33828139,2514177
150339,18581928,2256507
150340,18581928,1955305
150341,9831829,1177173
150342,92019399,666632
150343,18539217,1736244
150344,18539217,2785507
150345,18581928,1327712
150346,33828139,133934
150347,18581928,1335282
150348,18539217,2522944
150349,92019399,1040511
150350,18539217,126359
150351,01846359,1246996
150352,18539217,496468
150353,01846359,2477921
150354,02838109,317675
150355,33828139,526495
150356,33828139,2728025
150357,33828139,1627454
150358,92019399,2724738
150359,33828139,1009215
150360,33828139,685892
150361,01846359,874048
150362,18539217,2092848
150363,9831829,2607682
150364,05159822,947324
150365,33828139,1613107
150366,92019399,1621530
150367,9831829,2668835
150368,05159822,1615418
150369,18581928,99098
150370,9831829,2935626
150371,18539217,2611136
150372,01846359,327874
150373,01846359,1449327
150374,01846359,540111
150375,05159822,2762448
150376,9831829,1915473
150377,9831829,1810659
150378,92019399,1587116
150379,18581928,539228
150380,92019399,2868859
150381,9831829,1781917
150382,18539217,289550
150383,05159822,882982
150384,02838109,1280845
150385,18539217,587326
150386,9831829,2539940
150387,05159822,1757142
150388,05159822,1723521
150389,9831829,2474029
150390,9831829,1033534
150391,18581928,1962207
150392,9831829,623706
150393,01846359,375396
150394,05159822,877652
150395,9831829,1770033
150396,33828139,610198
150397,01846359,2707824
150398,05159822,1720277
150399,9831829,1538441
150400,18539217,7224
150401,06230932,2878017
150402,02838109,1351031
150403,05159822,2030471
150404,06230932,2704400
150405,01846359,1591326
150406,92019399,1423203
150407,33828139,2810742
150408,05159822,286105
150409,33828139,974430
150410,9831829,2823384
150411,33828139,705892
150412,02838109,2813983
150413,02838109,1997174
150414,67821984,2128333
150415,05159822,1768662
150416,33828139,2751043
150417,06230932,825684
150418,01846359,1122231
150419,67821984,2809448
150420,92019399,758917
150421,01846359,1892092
150422,18581928,2417583
150423,05159822,1656932
150424,01846359,1561154
150425,18539217,530754
150426,92019399,721574
150427,92019399,2576409
150428,05159822,2898642
150429,9831829,1677852
150430,9831829,2579192
150431,06230932,2010200
150432,06230932,356124
150433,18581928,1556179
150434,02838109,2388103
150435,05159822,2299008
150436,18581928,437186
150437,33828139,1510381
150438,67821984,643672
150439,06230932,1727834
150440,92019399,1478299
150441,18581928,1155642
150442,01846359,919683
150443,02838109,2766509
150444,18581928,1234320
150445,67821984,2282594
150446,67821984,2199545
150447,18581928,408620
150448,18581928,2829513
150449,18539217,219168
150450,33828139,164207
150451,92019399,1985394
150452,01846359,85785
150453,01846359,1507604
150454,67821984,2583165
150455,05159822,-16478
150456,18539217,2100534
150457,92019399,911785
150458,9831829,2596813
150459,67821984,737531
150460,33828139,307759
150461,02838109,608240
150462,9831829,244013
150463,05159822,1803636
150464,18539217,2193286
150465,9831829,77435
150466,33828139,2741839
150467,92019399,1517115
150468,9831829,994949
150469,05159822,2210081
150470,9831829,1399523
150471,02838109,2783428
150472,06230932,2207947
150473,18581928,2976696
150474,92019399,1171246
150475,67821984,1145427
150476,67821984,880334
150477,9831829,2874060
150478,02838109,2614402
150479,02838109,504555
150480,67821984,1639662
150481,18581928,238062
150482,01846359,2659149
150483,67821984,2058618
150484,18539217,936419
150485,92019399,2484201
150486,06230932,252864
150487,18581928,1350629
150488,06230932,737326
150489,92019399,2302481
150490,18581928,295425
150491,01846359,791139
150492,9831829,163192
150493,67821984,1859288
150494,92019399,271664
150495,18539217,2307018
150496,06230932,1994568
150497,06230932,2240935
150498,92019399,2567408
150499,33828139,2097053
150500,92019399,1090378
150501,18581928,1617457
150502,02838109,1729029
150503,33828139,1350299
150504,02838109,1778222
150505,9831829,1953919
150506,02838109,2221781
150507,33828139,568258
150508,9831829,532629
150509,92019399,1293917
150510,9831829,2417593
150511,9831829,1242269
150512,67821984,968349
150513,33828139,1678720
150514,05159822,2362885
150515,92019399,2502098
150516,92019399,232775
150517,92019399,1229024
150518,18581928,1292587
150519,18539217,1562153
150520,18581928,359820
150521,67821984,1434806
150522,33828139,392018
150523,01846359,1096691
150524,06230932,309448
150525,06230932,1468983
150526,06230932,362465
150527,9831829,132106
150528,01846359,1326448
150529,01846359,2525365
150530,18539217,21921
150531,92019399,2752815
150532,33828139,276157
150533,02838109,2556423
150534,06230932,27313
150535,06230932,1056496
150536,06230932,225658
150537,02838109,1158521
150538,18539217,2153870
150539,06230932,1267875
150540,18581928,503823
150541,67821984,1974109
150542,06230932,1480436
150543,67821984,1080529
150544,02838109,2119487
150545,67821984,721495
150546,9831829,1844814
150547,18539217,2587601
150548,02838109,2597209
150549,18539217,329129
150550,18539217,2552684
150551,01846359,1978001
150552,18581928,1979758
150553,02838109,870511
150554,92019399,496066
150555,05159822,831000
150556,33828139,1279351
150557,01846359,2732662
150558,33828139,1898344
150559,01846359,2399036
150560,18581928,317496
150561,02838109,4523
150562,06230932,690738
150563,9831829,1897713
150564,02838109,1730332
150565,67821984,79754
150566,18581928,1380571
150567,18539217,1351751
150568,06230932,1984854
150569,33828139,993586
150570,18539217,1460918
150571,18539217,716322
150572,18581928,2185286
150573,9831829,1560504
150574,02838109,2717076
150575,92019399,755942
150576,18539217,154446
150577,06230932,2908669
150578,01846359,2572361
150579,02838109,1103791
150580,92019399,948864
150581,18581928,2010554
150582,05159822,2567638
150583,06230932,248187
150584,18539217,2128838
150585,18581928,385705
150586,02838109,1766506
150587,02838109,1608772
150588,18539217,645419
150589,67821984,2608036
150590,33828139,1930759
150591,06230932,2687847
150592,18539217,66396
150593,02838109,135089
150594,05159822,2797044
150595,06230932,1983632
150596,92019399,1901392
150597,02838109,548767
150598,9831829,2324227
150599,33828139,100899
150600,01846359,303707
150601,33828139,1630162
150602,18539217,2009708
150603,06230932,2911038
150604,18539217,2241384
150605,18539217,649756
150606,18539217,1044055
150607,18581928,2818667
150608,92019399,666724
150609,67821984,1470162
150610,18539217,2524602
150611,02838109,2295971
150612,18581928,953611
150613,05159822,920319
150614,06230932,2855139
150615,18581928,1262413
150616,33828139,131896
150617,18581928,1043881
150618,06230932,2186033
150619,18581928,2218468
150620,06230932,2954770
150621,06230932,2013774
150622,18581928,1160462
150623,18539217,829475
150624,06230932,2236323
150625,67821984,1077714
150626,33828139,2020183
150627,18539217,1507396
150628,06230932,1279992
150629,18539217,1263943
150630,18539217,2372358
150631,06230932,1945944
150632,67821984,306130
150633,18539217,691745
150634,67821984,818161
150635,06230932,2510437
150636,67821984,2445354
150637,05159822,896311
150638,92019399,410146
150639,67821984,1906432
150640,18539217,1476199
150641,18581928,2596564
150642,67821984,1209385
150643,05159822,306981
150644,18539217,1687700
150645,06230932,784706
150646,01846359,1921792
150647,18539217,2979994
150648,05159822,1033427
150649,06230932,899618
150650,01846359,1233052
150651,9831829,2761093
150652,92019399,828075
150653,67821984,2281029
150654,02838109,2904720
150655,18581928,540028
150656,05159822,2256136
150657,18581928,1646517
150658,18539217,2900130
150659,02838109,536330
150660,67821984,1468913
150661,06230932,1509966
150662,01846359,1058464
150663,05159822,2553405
150664,02838109,2543176
150665,9831829,1052790
150666,92019399,2936920
150667,05159822,244522
150668,06230932,2585429
150669,18581928,2531253
150670,06230932,2838752
150671,01846359,1475040
150672,18539217,221640
150673,06230932,930497
150674,02838109,450385
150675,33828139,874018
150676,18581928,149765
150677,18539217,2007046
150678,67821984,734469
150679,18581928,905766
150680,06230932,507739
150681,18581928,2083762
150682,9831829,70605
150683,9831829,1608572
150684,02838109,125444
150685,02838109,998846
150686,18581928,688629
150687,33828139,57316
150688,18539217,737729
150689,18581928,1571527
150690,01846359,1401765
150691,92019399,231770
150692,05159822,2852371
150693,9831829,1338691
150694,67821984,720768
150695,33828139,282552
150696,05159822,900011
150697,18539217,899430
150698,9831829,2725697
150699,06230932,648407
150700,01846359,2495267
150701,02838109,340282
150702,05159822,856881
150703,18581928,2363367
150704,18581928,893576
150705,18581928,269563
150706,18539217,34369
150707,9831829,1093340
150708,18539217,1818420
150709,18539217,2845544
150710,06230932,1242136
150711,9831829,2789451
150712,18581928,2196550
150713,33828139,1134607
150714,67821984,1089049
150715,9831829,499029
150716,02838109,1727642
150717,9831829,1109857
150718,9831829,713039
150719,06230932,2417066
150720,18539217,9135
150721,33828139,2100767
150722,06230932,1742793
150723,92019399,450161
150724,67821984,1703252
150725,02838109,1489968
150726,01846359,33238
150727,01846359,887066
150728,67821984,2967545
150729,18539217,2818013
150730,18581928,1209126
150731,92019399,1967061
150732,01846359,1330227
150733,06230932,2984750
150734,18581928,1158849
150735,18581928,2373580
150736,18539217,1152503
150737,01846359,305311
150738,67821984,569420
150739,02838109,1750250
150740,01846359,1926219
150741,67821984,434637
150742,02838109,1299735
150743,92019399,1770753
150744,05159822,620383
150745,01846359,179514
150746,9831829,2459276
150747,06230932,1682069
150748,01846359,2946225
150749,02838109,115436
150750,18539217,1507121
150751,18581928,554571
150752,18539217,1290531
150753,18539217,2321295
150754,01846359,854808
150755,67821984,1344497
150756,05159822,940800
150757,05159822,1244029
150758,9831829,2442952
150759,9831829,1309485
150760,18581928,1860964
150761,18581928,438803
150762,67821984,1670128
150763,06230932,1348881
150764,01846359,2023338
150765,18581928,2654054
150766,9831829,1249596
150767,92019399,1421275
150768,92019399,220763
150769,9831829,129255
150770,33828139,2760313
150771,05159822,66375
150772,18581928,2259175
150773,92019399,925529
150774,92019399,2892650
150775,18539217,2723712
150776,18581928,2557008
150777,05159822,388771
150778,33828139,2053237
150779,33828139,2181277
150780,18581928,1864200
150781,67821984,899912
150782,92019399,1888457
150783,02838109,1078598
150784,67821984,2616246
150785,18539217,1325295
150786,18581928,911594
150787,01846359,386478
150788,05159822,922588
150789,9831829,74526
150790,67821984,-14838
150791,05159822,2554458
150792,33828139,2229727
150793,01846359,2505996
150794,18581928,1719861
150795,05159822,58613
150796,05159822,671102
150797,02838109,1776809
150798,18581928,1024321
150799,05159822,2490154
150800,05159822,902361
150801,02838109,1911199
150802,06230932,2701282
150803,01846359,2556247
150804,92019399,2130722
150805,18539217,103377
150806,02838109,38904
150807,02838109,1182720
150808,67821984,2240357
150809,92019399,-6603
150810,33828139,1404986
150811,92019399,678344
150812,18539217,2134991
150813,01846359,102728
150814,06230932,2294227
150815,01846359,1979374
150816,92019399,410068
150817,92019399,1660918
150818,18581928,629898
150819,67821984,1391872
150820,9831829,40252
150821,05159822,1848677
150822,18539217,79749
150823,33828139,795310
150825,33828139,970163
150826,05159822,2552714
150827,02838109,1352921
150828,18581928,1590713
150829,18581928,2050682
150830,33828139,1174471
150831,92019399,137483
150832,05159822,2591821
150833,67821984,1054216
150834,02838109,2292500
150835,01846359,2265262
150836,02838109,1527722
150837,01846359,2933500
150838,9831829,92989
150839,33828139,99628
150840,67821984,375423
150841,33828139,921695
150842,05159822,1237298
150843,01846359,236883
150844,18539217,243817
150845,67821984,1141233
150846,01846359,967569
150847,06230932,1173057
150848,9831829,1005918
150849,92019399,-19632
150850,06230932,96090
150851,18539217,65744
150852,92019399,1886208
150853,01846359,2652413
150854,02838109,1512366
150855,18581928,495452
150856,18581928,592775
150857,33828139,2014162
150858,67821984,2140891
150859,92019399,2543397
150860,18581928,2319822
150861,01846359,583322
150862,92019399,1041863
150863,02838109,1002117
150864,67821984,2001109
150865,18539217,1525883
150866,01846359,563444
150867,06230932,1158826
150868,92019399,2394398
150869,9831829,84917
150870,67821984,702263
150871,9831829,1141462
150872,9831829,2142266
150873,06230932,649574
150874,06230932,51477
150875,06230932,1717761
150876,05159822,1520447
150877,9831829,968183
150878,06230932,1379521
150879,05159822,639219
150880,01846359,90243
150881,01846359,873686
150882,01846359,1873385
150883,92019399,159825
150884,06230932,192685
150885,92019399,1294815
150886,92019399,1913590
150887,06230932,769127
150888,06230932,1019221
150889,18539217,917751
150890,02838109,1279771
150891,33828139,227182
150892,92019399,1657991
150893,9831829,1491038
150894,67821984,2971049
150895,33828139,1486018
150896,06230932,876826
150897,06230932,1617083
150898,02838109,207992
150899,33828139,2571675
150900,33828139,2282471
150901,67821984,1819496
150902,02838109,417124
150903,92019399,1046373
150904,33828139,2539252
150905,06230932,1166356
150906,01846359,2349884
150907,01846359,1928733
150908,67821984,490259
150909,92019399,470925
150910,92019399,46000
150911,02838109,2577310
150912,02838109,289734
150913,9831829,2683931
150914,33828139,1157541
150915,05159822,174296
150916,05159822,851875
150917,06230932,2350715
150918,02838109,1567929
150919,92019399,1172115
150920,18581928,2678797
150921,18581928,389337
150922,9831829,1105726
150923,92019399,1309245
150924,18581928,2206046
150925,01846359,40964
150926,18581928,1847836
150927,01846359,1571735
150928,06230932,782031
150929,33828139,2196465
150930,06230932,2091938
150931,05159822,2067115
150932,92019399,1685341
150933,9831829,1150948
150934,05159822,592225
150935,01846359,973271
150936,18539217,2651418
150937,18581928,1379992
150938,67821984,721557
150939,33828139,1415305
150940,9831829,502998
150941,33828139,1819206
150942,18539217,2364842
150943,05159822,140839
150944,05159822,1238862
150945,9831829,1256452
150946,9831829,2950348
150947,92019399,2118791
150948,06230932,2841674
150949,67821984,1226733
150950,92019399,1995204
150951,02838109,1667383
150952,9831829,1072551
150953,18539217,885635
150954,9831829,1456847
150955,92019399,822270
150956,9831829,1699696
150957,18581928,1480086
150958,9831829,524544
150959,67821984,1190015
150960,02838109,1960732
150961,02838109,832408
150962,06230932,809208
150963,67821984,1419635
150964,18539217,1515801
150965,33828139,2514528
150966,18581928,1085343
150967,9831829,1244729
150968,01846359,467983
150969,18539217,959500
150970,18539217,466185
150971,9831829,1899727
150972,67821984,2327811
150973,01846359,1479108
150974,05159822,501404
150975,18581928,323018
150976,02838109,151557
150977,18581928,1342227
150978,92019399,2938707
150979,9831829,2835896
150980,01846359,1877232
150981,33828139,2448303
150982,01846359,2162839
150983,01846359,1146070
150984,05159822,322675
150985,02838109,491249
150986,18581928,1526251
150987,18581928,489679
150988,67821984,2081419
150989,92019399,2749585
150990,92019399,170434
150991,92019399,405656
150992,92019399,1631758
150993,9831829,2037037
150994,01846359,1032025
150995,01846359,24261
150996,92019399,1983058
150997,05159822,619509
150998,01846359,1657533
150999,92019399,111440
151000,02838109,2816396
151001,06230932,1733006
151002,92019399,706621
151003,06230932,1067811
151004,02838109,2025289
151005,92019399,925277
151006,02838109,298302
151007,02838109,165768
151008,02838109,660663
151009,06230932,2497707
151010,18581928,665730
151011,33828139,483886
151012,67821984,658998
151013,92019399,1422479
151014,92019399,2257580
151015,06230932,550470
151016,67821984,1834307
151017,05159822,1054053
151018,9831829,1414024
151019,18581928,1963483
151020,18539217,611063
151021,67821984,136705
151022,18581928,2967034
151023,01846359,1205446
151024,67821984,1356862
151025,01846359,2689057
151026,06230932,2837041
151027,92019399,1437763
151028,92019399,2378845
151029,18539217,-2939
151030,18539217,506898
151031,18581928,152748
151032,01846359,579071
151033,18581928,191191
151034,67821984,2890928
151035,02838109,2558813
151036,67821984,2338407
151037,02838109,564996
151038,67821984,-12581
151039,06230932,1212826
151040,05159822,1078732
151041,05159822,2587354
151042,18539217,67304
151043,02838109,1659537
151044,06230932,2329008
151045,67821984,-1861
151046,01846359,2491454
151047,06230932,1474114
151048,18539217,2958165
151049,92019399,1559441
151050,02838109,2331180
151051,05159822,675795
151052,92019399,1497481
151053,18539217,2832412
151054,05159822,1743487
151055,67821984,565917
151056,33828139,2919541
151057,05159822,1639475
151058,02838109,18547
151059,33828139,44181
151060,18581928,2251197
151061,05159822,364993
151062,33828139,1880005
151063,9831829,380918
151064,05159822,1570648
151065,9831829,2804708
151066,9831829,2641808
151067,02838109,2466509
151068,18539217,2558822
151069,9831829,1868959
151070,67821984,2926050
151071,05159822,473655
151072,18539217,153589
151073,18539217,588743
151074,06230932,226372
151075,67821984,1754971
151076,01846359,415897
151077,02838109,1288587
151078,9831829,191830
151079,18539217,773981
151080,05159822,1466353
151081,67821984,589645
151082,01846359,558802
151083,67821984,1469604
151084,06230932,2353527
151085,33828139,347178
151086,02838109,282769
151087,67821984,1799231
151088,9831829,925028
151089,18581928,1625458
151090,01846359,2092293
151091,02838109,2237475
151092,9831829,1260934
151093,01846359,247521
151094,33828139,534298
151095,06230932,402833
151096,18581928,1255879
151097,06230932,2062635
151098,05159822,804828
151099,05159822,473515
151100,01846359,2822299
151101,18581928,960820
151102,05159822,1418685
151103,18581928,1480361
151104,02838109,2315031
151105,33828139,1529731
151106,02838109,2037852
151107,18539217,2349756
151108,18581928,1121872
151109,05159822,1314997
151110,01846359,401777
151111,9831829,1844623
151112,06230932,1169569
151113,18539217,1341690
151114,33828139,2645305
151115,67821984,2286321
151116,67821984,2692485
151117,18581928,2985829
151118,92019399,1699374
151119,02838109,1141105
151120,02838109,1456397
151121,06230932,1069909
151122,06230932,132230
151123,02838109,33115
151124,01846359,95608
151125,67821984,2367469
151126,9831829,2299093
151127,33828139,2340954
151128,9831829,1227909
151129,02838109,2825950
151130,06230932,2573606
151131,9831829,6833
151132,06230932,2880072
151133,18539217,1234205
151134,67821984,2217454
151135,33828139,1987807
151136,92019399,1925943
151137,06230932,2908155
151138,92019399,682445
151139,18581928,1045469
151140,92019399,2885370
151141,18581928,1246389
151142,18539217,1180046
151143,18539217,1974572
151144,18581928,599368
151145,9831829,253402
151146,92019399,2759722
151147,33828139,2027873
151148,18539217,2784820
151149,01846359,2623198
151150,9831829,2920208
151151,33828139,571879
151152,33828139,2004409
151153,18581928,1590095
151154,18581928,2687272
151155,33828139,1438135
151156,9831829,444543
151157,67821984,965373
151158,92019399,375881
151159,9831829,1717618
151160,18581928,876312
151161,33828139,646496
151162,06230932,2149325
151163,01846359,2942614
151164,67821984,1963724
151165,9831829,1840135
151166,06230932,1834321
151167,06230932,56820
151168,05159822,2470276
151169,02838109,1627160
151170,92019399,1570476
151171,05159822,163058
151172,02838109,2421184
151173,06230932,2483458
151174,9831829,2237058
151175,02838109,2361106
151176,06230932,2170846
151177,18581928,124090
151178,33828139,872504
151179,06230932,1217575
151180,18539217,1537048
151181,01846359,2885683
151182,18581928,807062
151183,05159822,366395
151184,33828139,76297
151185,06230932,2665614
151186,18581928,2195120
151187,67821984,2312420
151188,05159822,1927728
151189,18581928,65147
151190,9831829,1721558
151191,05159822,2975904
151192,33828139,885642
151193,06230932,1596633
151194,9831829,1057777
151195,9831829,1945347
151196,33828139,2072491
151197,18539217,1165053
151198,18581928,2124022
151199,05159822,466163
151200,33828139,1625662
151201,01846359,1503120
151202,33828139,2874887
151203,33828139,3935
151204,06230932,640387
151205,18581928,885764
151206,33828139,728507
151207,18581928,928043
151208,18581928,2405299
151209,18539217,430054
151210,92019399,2509121
151211,06230932,2760469
151212,01846359,2444491
151213,05159822,1876777
151214,06230932,2900609
151215,05159822,2837020
151216,06230932,129651
151217,05159822,2862612
151218,18539217,1701642
151219,33828139,183998
151220,01846359,2466027
151221,67821984,1380703
151222,92019399,885280
151223,18539217,1812945
151224,92019399,1109334
151225,02838109,1615902
151226,92019399,1189528
151227,05159822,1914675
151228,02838109,1679602
151229,06230932,2944407
151230,33828139,805487
151231,05159822,2955046
151232,9831829,989780
151233,18539217,1853392
151234,18539217,2296644
151235,33828139,1592659
151236,18539217,1617455
151237,06230932,1188633
151238,18581928,43020
151239,18539217,2746658
151240,67821984,2587917
151241,92019399,2733848
151242,02838109,1945775
151243,01846359,1844664
151244,92019399,521033
151245,05159822,1560110
151246,05159822,1787885
151247,06230932,445792
151248,18539217,941180
151249,92019399,703607
151250,18539217,188615
151251,01846359,1647722
151252,01846359,1872557
151253,06230932,2854211
151254,06230932,297459
151255,01846359,2258692
151256,01846359,2340331
151257,02838109,2006599
151258,18539217,2891420
151259,92019399,1526050
151260,33828139,738477
151261,18581928,1070886
151262,33828139,895237
151263,33828139,1645328
151264,18581928,420421
151265,06230932,2952789
151266,92019399,1249741
151267,9831829,2157715
151268,9831829,2338046
151269,02838109,2104039
151270,33828139,1804112
151271,9831829,53899
151272,05159822,261625
151273,05159822,2067465
151274,9831829,593859
151275,06230932,138166
151276,01846359,55145
151277,02838109,1635395
151278,01846359,838811
151279,67821984,2082698
151280,06230932,1079607
151281,05159822,2905233
151282,05159822,2465967
151283,01846359,1580699
151284,9831829,1309210
151285,02838109,1662962
151286,92019399,1375696
151287,05159822,1299647
151288,67821984,2477824
151289,18539217,2114953
151290,18581928,2335436
151291,02838109,2350743
151292,18539217,693203
151293,02838109,368605
151294,06230932,1907244
151295,67821984,1008500
151296,02838109,567728
151297,67821984,1321740
151298,9831829,731358
151299,02838109,1977775
151300,67821984,2728116
151301,18539217,993394
151302,01846359,445043
